Id,Profile,Relationship Role,Nearest Neighbors
1047538821,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan,mentee,"[('1047516619', 1.0, 'mentee'), ('1047503059', 1.0, 'mentee'), ('1047513225', 1.0, 'mentee'), ('1047515114', 1.0, 'mentee')]"
1047497874,"nan Alberni Secondary no idea,  nan I would like to travel but I honestly got no idea sking soccer and chilling with the boys Urban (big city) nan , 1 , 0 , 1 nan nan nan nan nan nan",mentee,"[('1047498727', 1.0, 'mentee'), ('1047501363', 1.0, 'mentee'), ('1047639701', 1.0, 'mentee'), ('1047501368', 1.0, 'mentee')]"
10698,", 0 nan nan nan pediatrician, veterinarian    nan nan nan nan , 2 , 1 nan nan nan nan nan nan",mentee,"[('10988', 1.0, 'mentor'), ('10716', 1.0, 'mentee'), ('15766', 1.0, 'mentee'), ('15672', 1.0, 'mentee')]"
1047549000,"nan South Kamloops SS I would start a program to help them in need such as the homeless, people need to eat, and sleep somewhere comfortable. i understand that if money did not matter nobody would be in this situation, It would still be awesome to help people. nan I have a strong passion for engineering and mechanics, i have participated in the metal shop of the Creston Valley Secondary School. i enjoy sharing my capabilities and creativity through designing and constructing. I have also worked on vehicles and machines with the Creston Valley Secondary School successfully constructing a working machine    I enjoy basketball, art, blueprinting house designs, and vehicle designs. Rural (a small town nan He No preference 1 nan advice concerning  future education. I have been a farmer my whole life. participated in cadets and sport teams ect. nan nan nan",mentee,"[('1047554104', 1.0, 'mentee'), ('1047588327', 1.0, 'mentee'), ('1047548722', 1.0, 'mentor'), ('1047513634', 1.0, 'mentor')]"
1047592264,"nan nan Psychologist or a Forensic Psychiatrist just always something i've always been interested in.  nan Socialology and Psychology. Listen to music, go on drives, walks, cooking, baking. No preference nan She nan nan nan living on my own, budgeting, adulting. I've been through a lot of transitioning with moving to a new school and province, city as well. I've created a new personality through those transitions.  nan nan nan",mentee,"[('1047593954', 1.0, 'mentee'), ('1047541619', 1.0, 'mentor'), ('1047554034', 1.0, 'mentee'), ('1047516620', 1.0, 'mentee')]"
1047585061,"nan Charles Hays Secondary - Dueck Singer/song writer, Vehicle Mechanic, sales person, Therapist, Vehicle painter    nan Go to a college or take a gap year and take a single class in our local collage to keep me involved in school I participate in a classic car club, i enjoy reading, learning to drive standard, I work at a auto body shop  Rural (a small town nan Her/She  nan nan nan Living on your own, getting motivated, and staying focused.  I aim to become a student down on Victoria island, schools such as camosun collage or uvic.  nan nan nan",mentee,"[('1047541032', 1.0, 'mentee'), ('1047585219', 1.0, 'mentee'), ('1047548784', 1.0, 'mentor'), ('1047541619', 1.0, 'mentor')]"
1047513327,"UBC, Medicine nan My dream career would be a rural family doctor so I can live in beautiful places while helping the community nan I am studying medicine I love riding horses, pottery, hiking and lifting weights Rural (a small town nan her, she no preference 1 nan Being a support system while helping my mentee achieve their goals I would love to share my love and curiosity for science with a mentee who is interested in that field nan nan nan",mentor,"[('1047554033', 1.0, 'mentee'), ('1047549396', 1.0, 'mentee'), ('1047584581', 1.0, 'mentee'), ('1047554195', 1.0, 'mentee')]"
1047593268,"nan Tatla Lake School I�m interested in pursuing ECE because it is something I�m doing too. I�ve always loved being around little babies since I was a kid. My dream career if grades didn�t matter, it would have to be working in the NICU and labor and delivery nurse.   nan Thinking of studying ECE but I don�t know yet. I�m currently searching for a university or college that has a wrestling team.   I love to wrestle, listen to music, going for walks, drawing and coloring Rural (a small town nan She/Her  nan nan nan How does the transition of living from home to moving feel like? How is the food and library (study hall)?  Does UBC have a wrestling team? If so, how is it and what to expect? Because wrestling is important to me. It is currently my 4th year. It helps me mentally and physically nan nan nan",mentee,"[('1047513634', 0.99, 'mentor'), ('1047585070', 0.99, 'mentee'), ('1047588327', 0.99, 'mentee'), ('1047594513', 0.99, 'mentee')]"
1047517757,"uvic, psychology major  nan I would be a neurologist because I love the concept of the mind and brain connection with the body.  nan I am studying neuropsychology. Honestly I don't have any relevant job experiences but I was able to find a lot of online opportunities such a free courses to earn different certificates and ways to obtain virtual shadowing hours.  I love any type of sport and I really enjoy going to the beach to swim and tan. when I am not outside my favourite shows to watch are greys anatomy and breaking bad.  far from other towns/cities (like yours!) nan She no preference  1 nan I hope to be able to help at least one student with the transition to post secondary or help them to figure out what the next step is in their life they are wanting to take. I'm really excited to be a role model and make a difference in someones life.  I grew up not really focusing on school and didn�t realize until later in my highschool years how important school really is. I hope to be able to help change an individuals perspective on education to a positive light.  nan nan nan",mentor,"[('1047585216', 0.99, 'mentee'), ('1047513630', 0.99, 'mentor'), ('1047594516', 0.99, 'mentee'), ('1047514152', 0.99, 'mentor')]"
1047584585,"nan Alberni Secondary i dont have any career ideas other than youtube but i dont have any devices that allow me to upload videos so that sucks nan i dont know. my favourite subject is gym. i dont know what post secondary is, if we were taught that then i forgot.  i dont have any hobbies other than gaming.  No preference nan he nan nan nan i cant think of anything.  my life experience is gaming.  nan nan nan",mentee,"[('1047554034', 1.0, 'mentee'), ('1047593954', 1.0, 'mentee'), ('1047592264', 1.0, 'mentee'), ('1047516620', 1.0, 'mentee')]"
1047627201,"nan Charles Hays Secondary - Ling Travel Nursing because i love traveling and wanna go into the medical field so why not combine the two, Owning a book store( if money didn't matter) I love love books. Id love to open like a book store with a cafe if money didn't matter, Pharmacist because I've always been interested in medicine and the affects it has on our bodies. Radiologist because i think looking at medical imaging is really cool nan After high school I think I'll be going to school for nursing  I read a lot of books in my spare time. Im also an Athlete so i do lots of sports. My main Sports are Track and Field and Soccer  No preference nan She/her nan Someone who has had financial obstacles. Has travelled the world. Cares for others, perferbaly studying towards a career in healthcare  nan What its like moving away from home and living on your own. Budgeting, study tips, organization. i would like to go to either UVIC or Calgary for nursing after high school A few times a week Too busy hi",mentee,"[('1047585216', 0.99, 'mentee'), ('1047517757', 0.99, 'mentor'), ('1047585070', 0.99, 'mentee'), ('1047554057', 0.99, 'mentee')]"
1047499337,"nan Alberni Secondary interior designer, real estate agent  nan real estate agency sources, art, design  art, design, running  Urban (big city) nan , 0 , 0 , 1 nan nan nan nan nan nan",mentee,"[('1047499334', 1.0, 'mentee'), ('1047498734', 1.0, 'mentee'), ('1047496812', 1.0, 'mentee'), ('1047501149', 1.0, 'mentor')]"
